<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GTL ао;D;25/09/18;00:00;0.118;0.1225;0.118;0.119;9822000;0
GTL ао;D;26/09/18;00:00;0.12;0.1205;0.119;0.12;14318000;0
GTL ао;D;27/09/18;00:00;0.12;0.122;0.1175;0.1175;21452000;0
GTL ао;D;28/09/18;00:00;0.119;0.1395;0.117;0.125;76831000;0
GTL ао;D;01/10/18;00:00;0.1265;0.131;0.118;0.124;21023000;0
GTL ао;D;02/10/18;00:00;0.12;0.1285;0.12;0.1235;18893000;0
GTL ао;D;03/10/18;00:00;0.124;0.1465;0.124;0.133;91159000;0
GTL ао;D;04/10/18;00:00;0.133;0.1355;0.1245;0.1245;20499000;0
GTL ао;D;05/10/18;00:00;0.1265;0.133;0.1225;0.1295;14717000;0
GTL ао;D;08/10/18;00:00;0.1315;0.135;0.1255;0.1295;13416000;0
GTL ао;D;09/10/18;00:00;0.132;0.132;0.1235;0.124;9765000;0
GTL ао;D;10/10/18;00:00;0.126;0.126;0.121;0.122;13359000;0
GTL ао;D;11/10/18;00:00;0.1225;0.1345;0.1165;0.1225;79424000;0
GTL ао;D;12/10/18;00:00;0.123;0.1235;0.12;0.122;10811000;0
GTL ао;D;15/10/18;00:00;0.1225;0.125;0.1205;0.1225;11380000;0
GTL ао;D;16/10/18;00:00;0.129;0.129;0.119;0.1195;10597000;0
GTL ао;D;17/10/18;00:00;0.1215;0.1235;0.119;0.1195;15700000;0
GTL ао;D;18/10/18;00:00;0.12;0.1235;0.119;0.121;19339000;0
GTL ао;D;19/10/18;00:00;0.1225;0.1225;0.119;0.1195;8574000;0
GTL ао;D;22/10/18;00:00;0.1205;0.121;0.1165;0.1165;8450000;0
GTL ао;D;23/10/18;00:00;0.117;0.1195;0.113;0.116;8589000;0
GTL ао;D;24/10/18;00:00;0.118;0.119;0.115;0.1175;11376000;0
GTL ао;D;25/10/18;00:00;0.116;0.1175;0.1155;0.1175;8576000;0
GTL ао;D;26/10/18;00:00;0.118;0.118;0.115;0.1165;5107000;0
GTL ао;D;29/10/18;00:00;0.1155;0.118;0.1155;0.1165;4933000;0
GTL ао;D;30/10/18;00:00;0.1165;0.117;0.116;0.1165;3645000;0
GTL ао;D;31/10/18;00:00;0.1165;0.1195;0.1165;0.1185;19875000;0
GTL ао;D;01/11/18;00:00;0.1193;0.1193;0.11705;0.1185;5048000;0
GTL ао;D;02/11/18;00:00;0.11865;0.11895;0.118;0.1188;6344000;0
GTL ао;D;06/11/18;00:00;0.1189;0.1189;0.11715;0.1179;2174000;0
GTL ао;D;07/11/18;00:00;0.11725;0.118;0.11705;0.11765;3759000;0
GTL ао;D;08/11/18;00:00;0.164;0.164;0.1129;0.1176;4956000;0
GTL ао;D;09/11/18;00:00;0.1171;0.11795;0.11605;0.1175;7897000;0
GTL ао;D;12/11/18;00:00;0.1155;0.117;0.11505;0.11675;2922000;0
GTL ао;D;13/11/18;00:00;0.1173;0.1173;0.11515;0.1167;3128000;0
GTL ао;D;14/11/18;00:00;0.116;0.116;0.11235;0.113;13286000;0
GTL ао;D;15/11/18;00:00;0.113;0.1131;0.1118;0.112;21791000;0
GTL ао;D;16/11/18;00:00;0.0951;0.11295;0.0951;0.112;5964000;0
GTL ао;D;19/11/18;00:00;0.1129;0.1129;0.11165;0.11175;3063000;0
GTL ао;D;20/11/18;00:00;0.1123;0.1135;0.11085;0.11125;3598000;0
GTL ао;D;21/11/18;00:00;0.111;0.11245;0.11005;0.112;3766000;0
GTL ао;D;22/11/18;00:00;0.11155;0.1124;0.109;0.1092;5042000;0
GTL ао;D;23/11/18;00:00;0.10915;0.112;0.10905;0.11055;5217000;0
GTL ао;D;26/11/18;00:00;0.11095;0.12;0.1088;0.109;11609000;0
GTL ао;D;27/11/18;00:00;0.1;0.11045;0.1;0.1094;9019000;0
GTL ао;D;28/11/18;00:00;0.11095;0.12995;0.10955;0.11865;158464000;0
GTL ао;D;29/11/18;00:00;0.13195;0.13195;0.11865;0.1205;33336000;0
GTL ао;D;30/11/18;00:00;0.12005;0.1229;0.11705;0.1192;12668000;0
GTL ао;D;03/12/18;00:00;0.1192;0.1216;0.1181;0.1195;20249000;0
GTL ао;D;04/12/18;00:00;0.11995;0.12;0.117;0.1183;3178000;0
GTL ао;D;05/12/18;00:00;0.11895;0.1197;0.11395;0.1157;8447000;0
GTL ао;D;06/12/18;00:00;0.16;0.16;0.06945;0.11095;16180000;0
GTL ао;D;07/12/18;00:00;0.1105;0.11205;0.10905;0.111;10430000;0
GTL ао;D;10/12/18;00:00;0.11025;0.1114;0.10635;0.1079;8119000;0
GTL ао;D;11/12/18;00:00;0.10895;0.1107;0.1062;0.10935;10007000;0
GTL ао;D;12/12/18;00:00;0.11;0.11;0.108;0.10985;10777000;0
GTL ао;D;13/12/18;00:00;0.10995;0.11125;0.1055;0.1067;7358000;0
GTL ао;D;14/12/18;00:00;0.10705;0.10745;0.101;0.1037;9073000;0
GTL ао;D;17/12/18;00:00;0.10445;0.10535;0.104;0.1043;3864000;0
GTL ао;D;18/12/18;00:00;0.10485;0.10585;0.1025;0.1039;9927000;0
GTL ао;D;19/12/18;00:00;0.10375;0.10425;0.1;0.1015;11161000;0
GTL ао;D;20/12/18;00:00;0.1001;0.1153;0.0995;0.1026;31722000;0
GTL ао;D;21/12/18;00:00;0.1025;0.10275;0.0998;0.10145;6576000;0
GTL ао;D;24/12/18;00:00;0.103;0.1074;0.1;0.1022;7554000;0
GTL ао;D;25/12/18;00:00;0.10065;0.10235;0.097;0.10145;10003000;0
GTL ао;D;26/12/18;00:00;0.1022;0.1022;0.1;0.1006;3475000;0
GTL ао;D;27/12/18;00:00;0.1005;0.10195;0.1;0.1002;8773000;0
GTL ао;D;28/12/18;00:00;0.10015;0.10165;0.0989;0.101;15581000;0
GTL ао;D;29/12/18;00:00;0.0997;0.1022;0.0993;0.1022;5227000;0
GTL ао;D;03/01/19;00:00;0.1022;0.10435;0.1013;0.1028;6756000;0
GTL ао;D;04/01/19;00:00;0.09905;0.103;0.09905;0.1007;1227000;0
GTL ао;D;08/01/19;00:00;0.1015;0.10395;0.10105;0.10215;4330000;0
GTL ао;D;09/01/19;00:00;0.1025;0.1082;0.102;0.10395;18635000;0
GTL ао;D;10/01/19;00:00;0.10275;0.10465;0.10205;0.10385;4981000;0
GTL ао;D;11/01/19;00:00;0.10205;0.11875;0.10205;0.11105;48837000;0
GTL ао;D;14/01/19;00:00;0.09;0.1225;0.09;0.11755;44415000;0
GTL ао;D;15/01/19;00:00;0.1176;0.12;0.1153;0.1168;14881000;0
GTL ао;D;16/01/19;00:00;0.11665;0.1195;0.11;0.11455;25728000;0
GTL ао;D;17/01/19;00:00;0.1163;0.11795;0.112;0.1146;24417000;0
GTL ао;D;18/01/19;00:00;0.09155;0.1173;0.09155;0.1125;11083000;0
GTL ао;D;21/01/19;00:00;0.1106;0.14;0.1106;0.1205;73655000;0
GTL ао;D;22/01/19;00:00;0.12285;0.132;0.11525;0.1154;31678000;0
GTL ао;D;23/01/19;00:00;0.1177;0.1182;0.11355;0.1149;14037000;0
GTL ао;D;24/01/19;00:00;0.1149;0.11755;0.111;0.1163;11986000;0
GTL ао;D;25/01/19;00:00;0.116;0.1199;0.1124;0.1134;11300000;0
GTL ао;D;28/01/19;00:00;0.114;0.1144;0.1119;0.113;12992000;0
GTL ао;D;29/01/19;00:00;0.1129;0.1153;0.11265;0.1138;10868000;0
GTL ао;D;30/01/19;00:00;0.11225;0.1145;0.11215;0.11345;4682000;0
GTL ао;D;31/01/19;00:00;0.11315;0.1143;0.11315;0.11395;7417000;0
GTL ао;D;01/02/19;00:00;0.1132;0.1147;0.11;0.1114;17165000;0
GTL ао;D;04/02/19;00:00;0.113;0.1139;0.1106;0.1115;9726000;0
GTL ао;D;05/02/19;00:00;0.1122;0.1131;0.1106;0.112;6675000;0
GTL ао;D;06/02/19;00:00;0.1118;0.112;0.11;0.112;10384000;0
GTL ао;D;07/02/19;00:00;0.1119;0.1139;0.1109;0.1119;9508000;0
GTL ао;D;08/02/19;00:00;0.1115;0.1128;0.1093;0.1096;26692000;0
GTL ао;D;11/02/19;00:00;0.1095;0.11;0.1086;0.1099;6863000;0
GTL ао;D;12/02/19;00:00;0.1098;0.1124;0.108;0.1095;12331000;0
GTL ао;D;13/02/19;00:00;0.107;0.1109;0.107;0.11;16111000;0
GTL ао;D;14/02/19;00:00;0.1098;0.114;0.1085;0.1092;15410000;0
GTL ао;D;15/02/19;00:00;0.1091;0.1122;0.1087;0.1094;10424000;0
GTL ао;D;18/02/19;00:00;0.1093;0.111;0.1057;0.1087;12784000;0
