<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GTL ао;D;28/11/18;00:00;0.11865;158464000
GTL ао;D;29/11/18;00:00;0.1205;33336000
GTL ао;D;30/11/18;00:00;0.1192;12668000
GTL ао;D;03/12/18;00:00;0.1195;20249000
GTL ао;D;04/12/18;00:00;0.1183;3178000
GTL ао;D;05/12/18;00:00;0.1157;8447000
GTL ао;D;06/12/18;00:00;0.11095;16180000
GTL ао;D;07/12/18;00:00;0.111;10430000
GTL ао;D;10/12/18;00:00;0.1079;8119000
GTL ао;D;11/12/18;00:00;0.10935;10007000
GTL ао;D;12/12/18;00:00;0.10985;10777000
GTL ао;D;13/12/18;00:00;0.1067;7358000
GTL ао;D;14/12/18;00:00;0.1037;9073000
GTL ао;D;17/12/18;00:00;0.1043;3864000
GTL ао;D;18/12/18;00:00;0.1039;9927000
GTL ао;D;19/12/18;00:00;0.1015;11161000
GTL ао;D;20/12/18;00:00;0.1026;31722000
GTL ао;D;21/12/18;00:00;0.10145;6576000
GTL ао;D;24/12/18;00:00;0.1022;7554000
GTL ао;D;25/12/18;00:00;0.10145;10003000
GTL ао;D;26/12/18;00:00;0.1006;3475000
GTL ао;D;27/12/18;00:00;0.1002;8773000
GTL ао;D;28/12/18;00:00;0.101;15581000
GTL ао;D;29/12/18;00:00;0.1022;5227000
GTL ао;D;03/01/19;00:00;0.1028;6756000
GTL ао;D;04/01/19;00:00;0.1007;1227000
GTL ао;D;08/01/19;00:00;0.10215;4330000
GTL ао;D;09/01/19;00:00;0.10395;18635000
GTL ао;D;10/01/19;00:00;0.10385;4981000
GTL ао;D;11/01/19;00:00;0.11105;48837000
GTL ао;D;14/01/19;00:00;0.11755;44415000
GTL ао;D;15/01/19;00:00;0.1168;14881000
GTL ао;D;16/01/19;00:00;0.11455;25728000
GTL ао;D;17/01/19;00:00;0.1146;24417000
GTL ао;D;18/01/19;00:00;0.1125;11083000
GTL ао;D;21/01/19;00:00;0.1205;73655000
GTL ао;D;22/01/19;00:00;0.1154;31678000
GTL ао;D;23/01/19;00:00;0.1149;14037000
GTL ао;D;24/01/19;00:00;0.1163;11986000
GTL ао;D;25/01/19;00:00;0.1134;11300000
GTL ао;D;28/01/19;00:00;0.113;12992000
GTL ао;D;29/01/19;00:00;0.1138;10868000
GTL ао;D;30/01/19;00:00;0.11345;4682000
GTL ао;D;31/01/19;00:00;0.11395;7417000
GTL ао;D;01/02/19;00:00;0.1114;17165000
GTL ао;D;04/02/19;00:00;0.1115;9726000
GTL ао;D;05/02/19;00:00;0.112;6675000
GTL ао;D;06/02/19;00:00;0.112;10384000
GTL ао;D;07/02/19;00:00;0.1119;9508000
GTL ао;D;08/02/19;00:00;0.1096;26692000
GTL ао;D;11/02/19;00:00;0.1099;6863000
GTL ао;D;12/02/19;00:00;0.1095;12331000
GTL ао;D;13/02/19;00:00;0.11;16111000
GTL ао;D;14/02/19;00:00;0.1092;15410000
GTL ао;D;15/02/19;00:00;0.1094;10424000
GTL ао;D;18/02/19;00:00;0.1087;12784000
